"행정구역","2026년04월_전체세대","2026년04월_1인세대","2026년04월_2인세대","2026년04월_3인세대","2026년04월_4인세대","2026년04월_5인세대","2026년04월_6인세대","2026년04월_7인세대","2026년04월_8인세대","2026년04월_9인세대","2026년04월_10인이상세대"
"서울특별시 은평구 갈현제2동(1138055200)","12,719","5,219","3,473","2,174","1,438","327","62","18","3","1","4"
"서울특별시 은평구 구산동(1138056000)","13,501","5,079","3,641","2,581","1,654","423","92","18","6","2","5"
"서울특별시 은평구 대조동(1138057000)","15,548","8,860","3,637","1,796","968","215","54","15","3","0","0"
"서울특별시 은평구 응암제1동(1138058000)","15,151","6,366","3,849","2,628","1,797","410","71","17","6","4","3"
"서울특별시 은평구 응암제2동(1138059000)","10,941","3,129","2,801","2,660","1,893","359","72","15","6","3","3"
"서울특별시 은평구 응암제3동(1138060000)","12,506","6,596","3,074","1,680","892","198","53","10","2","0","1"
"서울특별시 은평구 역촌동(1138062500)","21,282","8,843","5,694","3,788","2,284","541","98","24","5","4","1"
"서울특별시 은평구 신사제1동(1138063100)","11,972","4,619","3,368","2,216","1,377","309","65","12","4","1","1"
"서울특별시 은평구 신사제2동(1138063200)","9,052","3,544","2,453","1,682","1,082","229","43","15","1","3","0"
"서울특별시 은평구 증산동(1138064000)","6,587","2,249","1,806","1,251","936","280","50","12","3","0","0"
"서울특별시 은평구 수색동(1138065000)","8,600","2,332","2,429","1,942","1,496","323","61","12","4","0","1"
"서울특별시 은평구 진관동(1138069000)","21,511","6,767","4,753","4,444","4,173","1,075","236","45","11","3","4"
"서울특별시 서대문구 (1141000000)","147,214","67,714","33,397","24,693","16,731","3,671","747","191","45","16","9"
"서울특별시 서대문구 천연동(1141052000)","7,600","3,072","1,916","1,442","920","197","39","11","1","0","2"
"서울특별시 서대문구 북아현동(1141055500)","7,026","2,782","1,694","1,452","913","150","28","5","1","1","0"
"서울특별시 서대문구 충현동(1141056500)","9,941","5,110","2,084","1,460","994","235","44","12","1","1","0"
"서울특별시 서대문구 신촌동(1141058500)","15,592","12,693","1,584","720","438","102","41","5","5","1","3"
"서울특별시 서대문구 연희동(1141061500)","18,703","10,880","3,743","2,236","1,376","359","69","24","12","2","2"
"서울특별시 서대문구 홍제제1동(1141062000)","11,197","4,318","2,980","2,123","1,375","305","67","22","6","0","1"
"서울특별시 서대문구 홍제제3동(1141064000)","7,952","3,067","2,067","1,579","972","212","41","11","3","0","0"
"서울특별시 서대문구 홍제제2동(1141065500)","5,231","1,782","1,433","1,115","711","153","28","6","1","1","1"
"서울특별시 서대문구 홍은제1동(1141066000)","10,393","3,682","2,841","2,081","1,364","333","67","22","1","2","0"
"서울특별시 서대문구 홍은제2동(1141068500)","12,748","5,274","3,192","2,246","1,579","359","77","17","2","2","0"
"서울특별시 서대문구 남가좌제1동(1141069000)","6,389","1,431","1,411","1,708","1,456","311","52","15","4","1","0"
"서울특별시 서대문구 남가좌제2동(1141070000)","13,246","5,602","2,949","2,459","1,837","328","56","12","1","2","0"
"서울특별시 서대문구 북가좌제1동(1141071000)","6,705","1,696","1,718","1,657","1,278","277","62","12","4","1","0"
"서울특별시 서대문구 북가좌제2동(1141072000)","14,491","6,325","3,785","2,415","1,518","350","76","17","3","2","0"
"서울특별시 마포구 (1144000000)","180,620","88,337","39,355","28,427","19,566","3,844","765","229","60","25","12"
"서울특별시 마포구 아현동(1144055500)","12,158","3,799","3,097","2,943","1,942","283","64","23","5","2","0"
"서울특별시 마포구 공덕동(1144056500)","18,492","9,208","4,096","2,890","1,851","347","67","28","1","2","2"
"서울특별시 마포구 도화동(1144058500)","9,274","3,744","2,192","1,773","1,233","249","63","14","4","2","0"
"서울특별시 마포구 용강동(1144059000)","9,322","3,468","2,024","2,014","1,488","256","50","15","5","1","1"
"서울특별시 마포구 대흥동(1144060000)","8,679","5,665","1,436","811","623","117","19","6","1","0","1"
"서울특별시 마포구 염리동(1144061000)","7,724","3,293","1,554","1,457","1,188","188","26","16","2","0","0"
"서울특별시 마포구 신수동(1144063000)","10,078","4,072","2,291","2,007","1,376","263","50","14","2","2","1"
"서울특별시 마포구 서강동(1144065500)","12,267","6,108","2,409","2,022","1,403","239","63","12","8","2","1"
"서울특별시 마포구 서교동(1144066000)","15,166","10,405","2,523","1,235","772","165","40","18","5","3","0"
"서울특별시 마포구 합정동(1144068000)","8,892","5,038","2,042","1,073","564","138","29","7","0","1","0"
"서울특별시 마포구 망원제1동(1144069000)","10,047","5,304","2,458","1,264","776","188","44","10","2","1","0"
"서울특별시 마포구 망원제2동(1144070000)","8,181","3,381","2,233","1,314","1,013","185","40","10","4","0","1"
"서울특별시 마포구 연남동(1144071000)","8,291","5,109","1,665","863","506","120","14","5","4","3","2"
"서울특별시 마포구 성산제1동(1144072000)","9,605","4,925","2,218","1,337","835","224","41","16","6","3","0"
"서울특별시 마포구 성산제2동(1144073000)","19,680","9,904","4,328","2,993","1,956","407","69","18","3","0","2"
"서울특별시 마포구 상암동(1144074000)","12,764","4,914","2,789","2,431","2,040","475","86","17","8","3","1"
"서울특별시 양천구 (1147000000)","179,462","60,013","43,135","38,167","30,747","5,920","1,100","250","89","23","18"
"서울특별시 양천구 목1동(1147051000)","10,307","1,683","1,983","3,115","2,932","480","83","22","7","2","0"
"서울특별시 양천구 목2동(1147052000)","13,213","5,634","3,257","2,293","1,611","323","61","24","7","1","2"
"서울특별시 양천구 목3동(1147053000)","10,083","4,420","2,591","1,736","1,064","211","43","10","5","1","2"
"서울특별시 양천구 목4동(1147054000)","9,870","3,401","2,138","2,055","1,838","344","76","12","4","1","1"
"서울특별시 양천구 목5동(1147055000)","13,528","1,762","2,640","4,124","4,191","642","126","29","10","1","3"
"서울특별시 양천구 신월1동(1147056000)","9,851","4,934","2,476","1,450","784","165","35","5","1","1","0"
"서울특별시 양천구 신월2동(1147057000)","8,712","2,905","2,254","1,799","1,330","331","63","23","4","2","1"
"서울특별시 양천구 신월3동(1147058000)","7,436","4,047","1,756","879","547","168","30","3","3","0","3"
"서울특별시 양천구 신월4동(1147059000)","6,766","1,846","1,872","1,600","1,116","263","59","7","2","1","0"
